Starting to process records as json.
 Loading json records...
Sorting records in ascending order by 'run secs'...
0.00002107651230425056  1| 1| 1| 1| 4| 2| 2| 2| 4| 1| 4| 2| 1| 4|16| 1| 1| 3| 1| 3
0.00002190651358307120  1| 1| 1| 1| 1| 8| 4| 1| 1|32| 1| 1| 2|32| 1| 1| 3| 1| 3| 1
0.00002229396014760148  1| 1| 1| 1| 4| 4| 2| 1| 1| 4| 8| 1| 1| 2|32| 1| 1| 3| 3| 1
0.00002240121939231457  1| 1| 1| 1| 8| 2| 2| 1| 8| 4| 1| 1| 1| 4|16| 1| 3| 1| 1| 3
0.00002274382711405356  1| 1| 1| 1| 8| 2| 1| 2| 4| 1| 8| 1| 1| 1|64| 1| 1| 3| 3| 1
0.00002990011779386074  1| 1| 1| 1| 2| 8| 1| 2| 1| 2|16| 1| 1| 1|64| 1| 3| 1| 3| 1
0.00003062902582266910  1| 1| 1| 1| 2| 4| 4| 1| 2| 8| 2| 1| 4| 2| 8| 1| 1| 3| 3| 1
0.00003104794590813709  1| 1| 1| 1| 4| 2| 4| 1| 4| 4| 2| 1| 4| 2| 8| 1| 3| 1| 1| 3
0.00003408070815231280  1| 1| 1| 1| 8| 4| 1| 1| 4| 4| 2| 1| 8| 1| 1| 8| 3| 1| 3| 1
0.00003808041513157895  1| 1| 1| 1| 4| 4| 2| 1| 2|16| 1| 1| 1| 1| 4|16| 3| 1| 1| 3
0.00003881880221036585  1| 1| 1| 1|16| 2| 1| 1| 8| 1| 2| 2| 1| 4|16| 1| 3| 1| 3| 1
0.00003927054507462687  1| 1| 1| 1| 1|16| 2| 1| 8| 1| 4| 1|16| 1| 4| 1| 1| 3| 1| 3
0.00004301958262897115  1| 1| 1| 1| 1|16| 1| 2| 2| 4| 2| 2| 1| 4| 1|16| 3| 1| 1| 3
0.00004375113438596491  1| 1| 1| 1| 1| 2| 8| 2| 1| 1|16| 2| 4| 1| 1|16| 3| 1| 1| 3
0.00004668551255961844  1| 1| 1| 1| 2| 4| 4| 1| 2| 2| 2| 4| 4| 2| 1| 8| 1| 3| 1| 3
0.00005033652784746613  1| 1| 1| 1| 2| 1|16| 1| 1| 8| 2| 2| 8| 1| 1| 8| 1| 3| 3| 1
0.00005121338888888890  1| 1| 1| 1| 1|16| 1| 2|16| 2| 1| 1| 4| 1| 1|16| 1| 3| 1| 3
0.00005887438749359303  1| 1| 1| 1|16| 1| 1| 2| 8| 1| 2| 2| 4| 4| 1| 4| 3| 1| 1| 3
0.00005951091729761211  1| 1| 1| 1| 2| 8| 1| 2| 1| 8| 4| 1| 4| 1| 1|16| 1| 3| 3| 1
0.00006025717422541535  1| 1| 1| 1| 2| 8| 1| 2| 1| 2| 2| 8| 2| 1| 8| 4| 1| 3| 3| 1
0.00006149037565036420  1| 1| 1| 1| 2| 8| 1| 2| 2|16| 1| 1| 2| 2| 2| 8| 1| 3| 3| 1
0.00006313908703703704  1| 1| 1| 1| 2| 1|16| 1| 4| 2| 1| 4| 1| 1| 2|32| 1| 3| 1| 3
0.00006369630536130537  1| 1| 1| 1| 2| 4| 2| 2| 2| 4| 4| 1| 4| 4| 1| 4| 3| 1| 3| 1
0.00006679250321750322  1| 1| 1| 1| 2| 4| 4| 1| 8| 4| 1| 1| 2| 1| 8| 4| 1| 3| 1| 3
0.00006945602283372366  1| 1| 1| 1| 2| 4| 4| 1| 1|16| 2| 1| 2| 1| 2|16| 3| 1| 3| 1
0.00007151966286644951  1| 1| 1| 1| 2| 8| 2| 1| 1| 8| 4| 1| 8| 1| 2| 4| 3| 1| 3| 1
0.00007287725280269059  1| 1| 1| 1| 1|16| 1| 2| 1| 8| 1| 4|16| 1| 1| 4| 3| 1| 1| 3
0.00007348862360540223  1| 1| 1| 1| 2| 4| 2| 2| 1| 2|16| 1| 2| 1| 8| 4| 3| 1| 3| 1
0.00008438433065902578  1| 1| 1| 1| 2| 4| 4| 1| 1| 4| 2| 4| 1| 1| 2|32| 1| 3| 3| 1
0.00008849745390070922  1| 1| 1| 1| 1|16| 1| 2| 8| 1| 1| 4| 1| 4| 2| 8| 1| 3| 3| 1
0.00009054894266055046  1| 1| 1| 1| 8| 4| 1| 1| 1| 8| 4| 1| 8| 2| 1| 4| 3| 1| 3| 1
0.00009105809542857143  1| 1| 1| 1| 1| 2| 8| 2| 4| 1| 8| 1| 8| 4| 1| 2| 1| 3| 1| 3
0.00009543945600000000  1| 1| 1| 1| 1|16| 2| 1| 1| 8| 1| 4| 1| 4| 4| 4| 1| 3| 1| 3
0.00009763205650793652  1| 1| 1| 1| 8| 1| 4| 1| 1| 2| 4| 4| 4| 4| 4| 1| 3| 1| 1| 3
0.00009929122364532019  1| 1| 1| 1| 2| 8| 2| 1| 1|32| 1| 1| 1| 8| 2| 4| 1| 3| 1| 3
0.00010227509760956174  1| 1| 1| 1| 1|32| 1| 1| 2| 2| 2| 4| 1| 4| 4| 4| 1| 3| 1| 3
0.00010698274456879525  1| 1| 1| 1| 2| 4| 4| 1| 1| 1|16| 2| 2| 2| 2| 8| 3| 1| 1| 3
0.00011655176516853932  1| 1| 1| 1| 4| 4| 2| 1| 1| 4| 4| 2| 2| 4| 1| 8| 1| 3| 3| 1
0.00011879530680061823  1| 1| 1| 1| 1| 1|32| 1| 2| 1|16| 1| 1| 2| 2|16| 1| 3| 3| 1
0.00012102475969827586  1| 1| 1| 1| 8| 2| 1| 2| 2| 2| 4| 2| 1| 1| 2|32| 1| 3| 3| 1
0.00012556581397379910  1| 1| 1| 1| 4| 1| 8| 1| 1|16| 1| 2| 4| 1| 4| 4| 3| 1| 1| 3
0.00013460471238348868  1| 1| 1| 1| 8| 1| 4| 1| 4| 1| 4| 2| 2| 8| 1| 4| 1| 3| 3| 1
0.00014949584425036390  1| 1| 1| 1| 4| 2| 4| 1| 8| 1| 1| 4| 8| 2| 1| 4| 1| 3| 3| 1
0.00016808038852459016  1| 1| 1| 1| 1| 4| 8| 1| 1|16| 1| 2| 2| 1| 8| 4| 1| 3| 1| 3
0.00017044068858131488  1| 1| 1| 1| 2| 8| 1| 2|16| 1| 2| 1| 2| 2| 1|16| 1| 3| 3| 1
0.00017114785833333333  1| 1| 1| 1| 4| 4| 2| 1| 2|16| 1| 1| 1| 4| 2| 8| 1| 3| 3| 1
0.00017336680848329048  1| 1| 1| 1|32| 1| 1| 1| 2| 8| 2| 1| 4| 4| 2| 2| 3| 1| 3| 1
0.00017818505675368899  1| 1| 1| 1| 1| 4| 8| 1|32| 1| 1| 1| 4| 2| 1| 8| 1| 3| 1| 3
0.00018899649494949497  1| 1| 1| 1| 1| 8| 4| 1| 1|16| 2| 1| 1| 2|16| 2| 3| 1| 1| 3
0.00019228549577464789  1| 1| 1| 1| 4| 8| 1| 1| 1| 2|16| 1| 1|16| 2| 2| 3| 1| 3| 1
0.00020332794827586208  1| 1| 1| 1| 1|32| 1| 1| 1| 2| 4| 4| 1| 8| 4| 2| 3| 1| 3| 1
0.00020502056910569105  1| 1| 1| 1| 4| 4| 1| 2| 1| 8| 1| 4| 2| 2| 8| 2| 3| 1| 1| 3
0.00020664386721991701  1| 1| 1| 1| 1| 2|16| 1| 8| 2| 2| 1| 8| 2| 2| 2| 1| 3| 3| 1
0.00021172649479166668  1| 1| 1| 1| 1| 8| 4| 1| 1| 4| 1| 8| 2| 4| 1| 8| 3| 1| 3| 1
0.00021253757539682540  1| 1| 1| 1|16| 2| 1| 1| 1| 1| 1|32|32| 2| 1| 1| 1| 3| 3| 1
0.00021333121797323135  1| 1| 1| 1| 8| 1| 4| 1| 4| 1| 4| 2| 1| 4| 8| 2| 1| 3| 1| 3
0.00021347884309623431  1| 1| 1| 1| 1| 8| 2| 2| 1|16| 1| 2| 4| 8| 1| 2| 3| 1| 3| 1
0.00021466380386740331  1| 1| 1| 1| 4| 8| 1| 1| 1| 2| 1|16| 4| 1| 8| 2| 1| 3| 1| 3
0.00021488466243194194  1| 1| 1| 1|16| 1| 1| 2| 2| 2| 2| 4|16| 2| 1| 2| 1| 3| 3| 1
0.00022105194970986459  1| 1| 1| 1| 4| 1| 8| 1| 8| 2| 1| 2| 1| 8| 2| 4| 1| 3| 3| 1
0.00022285242074927957  1| 1| 1| 1| 1| 4| 8| 1| 1| 4| 2| 4| 1|16| 2| 2| 1| 3| 1| 3
0.00022418464197530865  1| 1| 1| 1| 2|16| 1| 1| 2| 2| 4| 2| 8| 4| 1| 2| 1| 3| 3| 1
0.00022483242978723405  1| 1| 1| 1| 4| 2| 4| 1| 2|16| 1| 1| 1|32| 2| 1| 1| 3| 3| 1
0.00022660477621283255  1| 1| 1| 1| 2| 4| 2| 2| 1| 1| 2|16| 1| 2|32| 1| 1| 3| 3| 1
0.00023170460661157022  1| 1| 1| 1|32| 1| 1| 1| 1| 4| 2| 4| 1| 2|16| 2| 3| 1| 1| 3
0.00023480613862928351  1| 1| 1| 1| 2| 1|16| 1| 8| 2| 2| 1| 8| 1| 4| 2| 1| 3| 3| 1
0.00023743162268518515  1| 1| 1| 1| 1|32| 1| 1| 2| 2| 2| 4| 4| 1| 8| 2| 3| 1| 1| 3
0.00023776039814814816  1| 1| 1| 1| 1| 1|16| 2| 2| 1| 4| 4| 4| 4| 4| 1| 1| 3| 1| 3
0.00025937915079365080  1| 1| 1| 1| 1| 2| 8| 2| 2| 8| 2| 1| 2| 8| 2| 2| 1| 3| 3| 1
0.00027227583220338985  1| 1| 1| 1| 4| 2| 2| 2| 2| 8| 1| 2| 1| 1|16| 4| 3| 1| 1| 3
0.00027573795555555560  1| 1| 1| 1| 2| 1| 8| 2| 4| 1| 4| 2| 1|16| 2| 2| 3| 1| 1| 3
0.00027594245409429282  1| 1| 1| 1| 1| 4| 4| 2| 2| 8| 1| 2| 4| 4| 2| 2| 3| 1| 1| 3
0.00028828698305084744  1| 1| 1| 1| 1|16| 2| 1| 4| 1| 1| 8|32| 1| 1| 2| 3| 1| 3| 1
